can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,DEF,3.3,2.8,2,2.8,3,,2024-11-27T10:30:06.325759Z,6.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p226597.png,4.3,False,27.8,a,Arsenal,3,94,0.4,14.9,Gabriel,2020-09-01,1997-12-19,False,p226597,1898,3,2,7,20,0,0,0,3,0,0,8,353,496.4,170.8,272.0,94.0,22,2.56,1.03,3.59,19.52,0,0,0,0,0,0,0,46,163,75,84,,,,0.12,0.0,0.05,0.17,0.93,0.95,1.04,0.33,Defender,5.0,14.92,1.41,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",3,67ac5bb8,5613,435338,1,2024,5613,4.22,3,4.22,1.14,20,11,9.62,8.59
True,True,DEF,2.7,2.2,1,2.2,6,,2025-01-12T22:00:07.815228Z,5.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p445122.png,3.5,False,4.3,a,Arsenal,3,73,0.4,13.0,J.Timber,2023-07-14,2001-06-17,False,p445122,1755,1,1,7,16,0,0,0,7,0,0,5,274,276.2,221.9,187.0,68.3,20,0.75,1.01,1.76,15.51,0,0,0,0,0,0,0,172,127,121,133,,,,0.04,0.0,0.05,0.09,0.8,0.82,1.03,0.36,Defender,2.0,13.04,0.24,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",6,41034650,11707,420243,1,2024,11707,0.91,1,0.91,0.95,12,14,7.61,6.88
True,True,DEF,0.5,0.0,0,0.0,8,,,4.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p440854.png,1.6,False,0.2,a,Arsenal,3,13,0.0,2.7,Kiwior,2023-01-23,2000-02-15,False,p440854,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.00,0.03,0.03,4.45,0,0,0,0,0,0,0,385,399,718,419,,,,0.0,0.0,0.01,0.01,1.24,1.39,0.56,0.28,Defender,0.0,2.71,-0.03,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",8,dc3e663e,10012,425918,1,2024,10012,0.0,0,0.0,0.06,0,1,0.12,0.06
True,True,DEF,3.7,3.2,2,3.2,18,,2025-01-18T23:00:07.959087Z,6.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p462424.png,4.0,False,21.7,a,Arsenal,3,87,0.5,14.0,Saliba,2019-07-25,2001-03-24,False,p462424,1919,2,0,8,18,0,0,0,2,1,0,9,363,425.4,79.8,89.0,59.7,22,1.88,0.80,2.68,17.52,0,0,0,0,0,0,0,76,262,218,169,,,,0.09,0.0,0.04,0.13,0.82,0.84,1.03,0.38,Defender,2.0,14.03,-0.68,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",18,972aeb2a,6888,495666,1,2024,6888,2.48,2,2.48,0.62,3,4,9.34,9.32
True,True,DEF,1.0,0.5,0,0.5,21,,2024-08-12T14:30:04.394338Z,4.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p192895.png,1.0,False,0.0,a,Arsenal,3,2,0.1,0.5,Tierney,2019-08-08,1997-06-05,False,p192895,16,0,0,0,0,0,0,0,0,0,0,0,10,2.2,11.0,2.0,1.6,0,0.00,0.23,0.23,0.21,0,0,0,0,0,0,0,497,404,431,480,,,,0.0,0.0,1.29,1.29,1.18,0.0,0.0,0.0,Defender,0.0,0.47,-0.23,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",21,fce2302c,8089,300716,1,2024,8089,0.0,0,0.0,0.51,0,1,0.51,0.0
True,True,DEF,0.0,0.0,0,0.0,22,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,4.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p223723.png,1.0,False,0.0,i,Arsenal,3,1,0.0,0.2,Tomiyasu,2021-08-31,1998-11-05,False,p223723,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.00,0.18,0.04,0,0,0,0,0,0,0,508,477,386,487,,,,2.7,0.0,0.0,2.7,0.6,0.0,0.0,0.0,Defender,0.0,0.21,-0.18,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",22,b3af9be1,7931,331560,1,2024,7931,0.17,0,0.17,0.0,1,0,0.0,0.0
True,True,DEF,0.0,0.0,0,0.0,24,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,6.1,https://resources.premierleague.com/premierleague/photos/players/250x250/p198869.png,3.0,False,2.1,i,Arsenal,3,27,0.0,4.4,White,2021-07-30,1997-10-08,False,p198869,694,0,1,3,7,0,0,0,2,0,0,0,112,128.4,55.3,29.0,21.3,7,0.13,0.32,0.45,9.87,0,0,0,0,0,0,0,302,305,322,336,,,,0.02,0.0,0.04,0.06,1.28,0.91,0.91,0.39,Defender,1.0,4.43,0.55,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",24,35e413f1,7298,335721,1,2024,7298,0.11,0,0.11,0.41,4,3,2.05,1.96
True,True,DEF,0.7,0.2,0,0.2,25,,2024-12-09T09:30:06.099861Z,4.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p206325.png,2.1,False,0.9,a,Arsenal,3,17,0.0,3.5,Zinchenko,2022-07-22,1996-12-15,False,p206325,238,0,0,2,0,0,0,0,1,0,0,0,66,22.2,26.5,23.0,7.2,2,0.06,0.08,0.14,1.82,0,0,0,0,0,0,0,428,359,341,410,,,,0.02,0.0,0.03,0.05,0.69,0.0,0.76,0.76,Defender,0.0,3.54,-0.14,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",25,51cf8561,2958,203853,1,2024,2958,0.06,0,0.06,0.04,1,1,1.39,1.39
True,True,DEF,2.5,2.0,1,2.0,578,,2025-01-12T22:00:08.460074Z,5.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p466075.png,2.6,False,1.3,a,Arsenal,3,34,0.3,5.9,Calafiori,2024-07-29,2002-05-19,False,p466075,750,2,1,1,10,0,0,0,3,0,0,1,126,233.0,85.2,142.0,46.0,8,0.67,0.56,1.23,8.09,0,0,0,0,0,0,0,204,252,163,225,,,,0.08,0.0,0.07,0.15,0.97,1.2,0.96,0.12,Defender,3.0,5.86,1.77,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",578,aded8e6f,8129,502821,1,2024,8129,0.64,2,0.64,0.25,7,4,2.97,2.8
True,True,DEF,0.0,0.0,0,3.0,32,Muscle injury - Expected back 25 Feb,2025-01-31T15:00:08.473024Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p199796.png,2.4,False,1.1,i,Aston Villa,7,38,0.7,8.6,Cash,2020-09-03,1997-08-07,False,p199796,1258,1,1,2,17,0,0,0,5,0,0,1,133,233.4,120.0,98.0,45.2,15,0.22,0.96,1.18,17.63,0,0,0,0,0,0,0,202,208,207,226,,,,0.02,0.0,0.07,0.09,1.26,1.22,1.07,0.14,Defender,2.0,8.64,0.82,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",32,2389cdc2,8864,425334,1,2024,8864,0.3,1,0.3,1.41,6,8,4.5,4.09
True,False,DEF,0.0,0.0,0,0.0,35,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p165659.png,2.1,False,0.3,u,Aston Villa,7,21,0.0,4.7,Diego Carlos,2022-06-10,,False,p165659,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,8,0.64,0.08,0.72,11.88,0,0,0,0,0,0,0,276,421,273,334,,,,0.07,0.0,0.01,0.08,1.29,1.63,0.87,0.22,Defender,0.0,4.67,-0.72,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",35,b4a014b1,5712,329145,1,2024,5712,0.97,0,0.97,0.0,4,0,2.88,2.88
True,True,DEF,5.4,3.2,1,3.2,36,,,4.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p101188.png,2.6,False,6.9,a,Aston Villa,7,63,0.7,13.7,Digne,2022-01-13,1993-07-20,False,p101188,1770,0,4,3,29,0,0,0,3,0,0,6,278,396.2,467.3,103.0,96.8,21,0.77,2.97,3.74,24.93,0,0,0,0,0,0,0,96,39,203,80,2.0,2.0,,0.04,0.0,0.15,0.19,1.27,1.47,1.07,0.15,Defender,4.0,13.7,0.26,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",36,1b84dbe1,1823,126664,1,2024,1823,0.75,0,0.75,5.71,12,29,6.49,5.03
True,True,DEF,5.0,3.0,1,3.0,44,,2024-11-21T08:30:08.587167Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p199798.png,2.3,False,6.6,a,Aston Villa,7,50,0.7,11.4,Konsa,2019-07-11,1997-10-23,False,p199798,1901,1,0,2,34,0,0,0,0,0,0,5,236,331.4,81.6,81.0,49.4,22,0.59,0.41,1.0,26.78,0,0,0,0,0,0,0,135,259,226,213,,,,0.03,0.0,0.02,0.05,1.27,1.61,1.04,0.09,Defender,1.0,11.36,0.0,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",44,0313a347,7726,413403,1,2024,7726,0.66,1,0.66,0.18,5,3,7.1,6.69
True,True,DEF,0.0,0.5,1,0.5,45,,2024-11-14T10:00:07.838636Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p441302.png,1.1,False,1.2,a,Aston Villa,7,19,0.1,4.2,Maatsen,2024-06-28,2002-03-10,False,p441302,445,0,1,0,9,0,0,0,2,0,0,0,67,110.2,190.6,92.0,39.4,3,0.17,1.43,1.6,6.48,0,0,0,0,0,0,0,321,147,213,247,,,,0.03,0.0,0.29,0.32,1.31,1.82,0.61,0.0,Defender,1.0,4.22,-0.6,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",45,cab9634e,11807,485585,1,2024,11807,0.23,0,0.23,1.88,6,14,4.12,3.35
