can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,FWD,0.0,0.0,0,0.0,2,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,6.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p205651.png,2.5,False,1.2,i,Arsenal,3,42,0.0,6.5,G.Jesus,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,281,221,93,209,,,,0.46,0.0,0.08,0.54,0.87,0.75,0.9,0.3,Forward,5.0,6.46,1.43,"['West Ham', 'Home']","[2, 4, 3]",3.0,"['West Ham', ""Nott'm Forest"", 'Man Utd']","[2, 4, 3, 4, 3]",3.2,"['West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham']",2,b66315ae,5543,363205,1,2024,5543,3.38,3,3.38,0.55,20,8,4.95,2.05
True,True,FWD,0.0,0.0,0,5.2,4,Hamstring injury - Expected back 01 Jun,2025-02-12T09:00:08.755570Z,7.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p219847.png,4.6,False,6.8,i,Arsenal,3,96,0.7,12.3,Havertz,2023-06-28,1999-06-11,False,p219847,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,257.0,701.0,142.6,21,9.39,1.63,11.02,19.00,0,0,0,0,0,0,0,62,111,10,29,,,3.0,0.46,0.0,0.08,0.54,0.93,0.98,1.03,0.34,Forward,12.0,12.31,0.98,"['West Ham', 'Home']","[2, 4, 3]",3.0,"['West Ham', ""Nott'm Forest"", 'Man Utd']","[2, 4, 3, 4, 3]",3.2,"['West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham']",4,fed7cb61,5220,309400,1,2024,5220,11.76,9,11.76,2.87,52,16,15.87,4.7
True,False,FWD,0.0,0.0,0,0.4,38,Loaned to Al-Nassr,2025-02-03T10:25:17.104554Z,5.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p476344.png,2.6,False,1.9,u,Aston Villa,7,53,0.1,9.3,Duran,2023-01-23,,False,p476344,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,4,5.11,0.24,5.35,9.94,0,0,0,0,0,0,0,180,287,60,146,,,,0.74,0.0,0.03,0.77,1.44,2.03,0.58,0.29,Forward,7.0,9.3,1.65,"['Chelsea', 'Home']","[4, 3, 3]",3.33,"['Chelsea', 'Crystal Palace', 'Brentford']","[4, 3, 3, 3]",3.25,"['Chelsea', 'Crystal Palace', 'Brentford', 'Brighton']",38,414184f7,11366,649317,1,2024,11366,5.1,7,5.1,0.23,31,4,5.69,1.42
True,True,FWD,3.9,7.8,8,4.4,58,,2025-02-01T22:30:07.812499Z,8.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p178301.png,5.0,False,20.2,a,Aston Villa,7,124,0.5,13.9,Watkins,2020-09-09,1995-12-30,False,p178301,1729,11,5,6,30,0,0,0,0,0,0,20,418,521.2,262.9,825.0,159.2,21,12.00,1.43,13.43,22.66,0,0,0,0,0,0,0,39,107,6,17,,,1.0,0.62,0.0,0.07,0.69,1.18,1.56,1.09,0.31,Forward,16.0,13.93,2.57,"['Chelsea', 'Home']","[4, 3, 3]",3.33,"['Chelsea', 'Crystal Palace', 'Brentford']","[4, 3, 3, 3]",3.25,"['Chelsea', 'Crystal Palace', 'Brentford', 'Brighton']",58,aed3a70f,8865,324358,1,2024,8865,14.59,9,13.07,2.93,63,20,13.9,2.2
True,True,FWD,0.0,0.0,0,0.0,65,Knee injury - Unknown return date,2025-01-09T16:30:08.243030Z,5.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p168636.png,1.9,False,0.1,i,Bournemouth,91,32,0.0,5.9,Enes Ünal,2024-07-01,1997-05-10,False,p168636,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,2,2.73,0.26,2.99,6.38,0,0,0,0,0,0,0,337,307,113,270,,4.0,,0.74,0.0,0.07,0.81,1.74,0.82,0.55,0.55,Forward,3.0,5.93,0.01,"['Wolves', 'Home']","[2, 3, 3]",2.67,"['Wolves', 'Brighton', 'Spurs']","[2, 3, 3, 2, 2]",2.4,"['Wolves', 'Brighton', 'Spurs', 'Brentford', 'Ipswich']",65,f8eca1b6,6219,251106,1,2024,6219,2.02,2,2.02,0.55,19,4,2.63,0.93
True,True,FWD,1.3,1.8,1,0.8,69,,2024-08-31T06:32:40.630710Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p523700.png,0.9,False,1.2,a,Bournemouth,91,6,0.2,1.3,Jebbison,2024-07-10,2003-07-11,False,p523700,55,0,0,0,1,0,0,0,1,0,0,0,19,17.8,37.0,36.0,9.1,0,0.21,0.12,0.33,1.71,0,0,0,0,0,0,0,444,335,310,404,,,,0.34,0.0,0.2,0.54,2.8,1.64,0.0,0.0,Forward,0.0,1.33,-0.33,"['Wolves', 'Home']","[2, 3, 3]",2.67,"['Wolves', 'Brighton', 'Spurs']","[2, 3, 3, 2, 2]",2.4,"['Wolves', 'Brighton', 'Spurs', 'Brentford', 'Ipswich']",69,03edb878,9509,746740,1,2024,9509,0.44,0,0.44,0.21,2,3,0.62,0.0
True,True,FWD,0.0,0.0,0,0.0,617,Foot injury - Unknown return date,2025-01-07T12:00:09.172079Z,5.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p444102.png,4.1,False,0.6,i,Bournemouth,91,78,0.0,13.9,Evanilson,2024-08-16,1999-10-06,False,p444102,1368,5,4,8,18,0,0,1,0,0,0,12,291,243.6,202.1,573.0,101.5,17,6.46,1.30,7.76,16.85,0,0,0,0,0,0,0,203,144,26,78,,,2.0,0.42,0.0,0.09,0.51,1.11,1.18,1.12,0.53,Forward,9.0,13.93,1.24,"['Wolves', 'Home']","[2, 3, 3]",2.67,"['Wolves', 'Brighton', 'Spurs']","[2, 3, 3, 2, 2]",2.4,"['Wolves', 'Brighton', 'Spurs', 'Brentford', 'Ipswich']",617,6f3cc2fe,12963,711337,1,2024,12963,7.53,5,6.77,1.36,43,15,9.14,1.73
True,True,FWD,0.7,1.2,0,0.2,707,,,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p606774.png,1.0,False,0.1,a,Bournemouth,91,1,0.0,0.2,Rees-Dottin,2024-12-28,2006-03-06,False,p606774,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,0,0,0,0,0,0,0,736,729,715,735,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,0.0,0.22,0.0,"['Wolves', 'Home']","[2, 3, 3]",2.67,"['Wolves', 'Brighton', 'Spurs']","[2, 3, 3, 2, 2]",2.4,"['Wolves', 'Brighton', 'Spurs', 'Brentford', 'Ipswich']",707,1db75ccb,13307,1089802,1,2024,13307,0.0,0,0.0,0.0,0,0,0.0,0.0
True,True,FWD,2.0,2.0,2,2.0,110,,2024-11-13T14:30:07.614563Z,6.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p216646.png,4.8,False,11.8,a,Brentford,94,105,0.3,16.7,Wissa,2021-08-10,1996-09-03,False,p216646,1751,10,3,5,30,0,0,0,2,0,0,16,415,473.4,232.8,652.0,135.1,21,11.46,1.25,12.71,29.93,0,0,0,0,0,0,0,60,124,16,38,,,4.0,0.59,0.0,0.06,0.65,1.54,1.54,1.08,0.26,Forward,13.0,16.67,0.29,"['Leicester', 'Away']","[2, 2, 3]",2.33,"['Leicester', 'Everton', 'Aston Villa']","[2, 2, 3, 3, 4]",2.8,"['Leicester', 'Everton', 'Aston Villa', 'Bournemouth', 'Newcastle']",110,2500cef9,5786,388165,1,2024,5786,12.73,10,12.73,2.14,53,16,17.96,3.63
True,True,FWD,1.7,0.7,1,1.2,129,,2025-01-09T16:30:08.389436Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p475168.png,4.3,False,11.3,a,Brighton,36,81,0.2,14.7,João Pedro,2023-06-14,2001-09-26,False,p475168,1357,5,5,5,17,0,0,0,3,0,0,15,320,347.8,295.5,434.0,107.1,16,4.36,2.18,6.54,17.61,0,0,0,0,0,0,0,135,88,47,72,,,1.0,0.29,0.0,0.14,0.43,1.17,1.13,1.06,0.33,Forward,10.0,14.73,3.46,"['Southampton', 'Away']","[2, 3, 3]",2.67,"['Southampton', 'Bournemouth', 'Fulham']","[2, 3, 3, 4, 3]",3.0,"['Southampton', 'Bournemouth', 'Fulham', 'Man City', 'Aston Villa']",129,e8832875,8272,626724,1,2024,8272,4.41,4,3.65,3.06,33,19,9.65,4.31
