id,name,team,position,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
351,Haaland,13,4,7,1,90,1,0,1,0,0,0,0,1,0,0,2,31,36.4,0.6,38.0,7.5,1,0.28,0.00,0.28,1.01
351,Haaland,13,4,17,2,89,3,0,0,1,0,0,0,0,0,0,3,80,97.2,3.3,83.0,18.4,1,1.79,0.04,1.83,0.29
351,Haaland,13,4,17,3,90,3,0,0,1,0,0,0,0,0,0,3,93,106.8,11.1,66.0,18.4,1,1.71,0.11,1.82,0.73
351,Haaland,13,4,13,4,90,2,0,0,1,0,0,0,0,0,0,3,58,72.2,1.5,85.0,15.9,1,1.10,0.01,1.11,0.96
351,Haaland,13,4,9,5,90,1,0,0,2,0,0,0,0,0,0,3,33,42.2,0.5,114.0,15.7,1,0.81,0.02,0.83,0.65
351,Haaland,13,4,2,6,90,0,0,0,1,0,0,0,0,0,0,0,12,14.8,12.3,57.0,8.4,1,0.45,0.10,0.55,1.57
351,Haaland,13,4,2,7,90,0,0,0,2,0,0,0,0,0,0,0,10,9.2,23.6,42.0,7.5,1,0.25,0.09,0.34,2.60
351,Haaland,13,4,2,8,90,0,0,0,1,0,0,0,0,0,0,0,6,2.2,13.2,8.0,2.3,1,0.00,0.02,0.02,0.97
351,Haaland,13,4,6,9,90,1,0,1,0,0,0,0,0,0,0,0,26,32.0,2.0,91.0,12.5,1,2.33,0.00,2.33,0.21
351,Haaland,13,4,2,10,90,0,0,0,2,0,0,0,0,0,0,0,-1,3.2,0.6,69.0,7.3,1,0.88,0.02,0.90,2.04
351,Haaland,13,4,5,11,90,1,0,0,2,0,0,0,1,0,0,0,26,33.6,0.9,87.0,12.2,1,1.38,0.00,1.38,2.29
351,Haaland,13,4,2,12,90,0,0,0,4,0,0,0,0,0,0,0,2,6.2,22.3,64.0,9.3,1,0.82,0.03,0.85,2.51
351,Haaland,13,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
447,Wood,16,4,9,1,71,1,0,1,0,0,0,0,0,0,0,3,30,32.2,5.7,21.0,5.9,1,0.71,0.02,0.73,0.63
447,Wood,16,4,1,2,74,0,0,1,0,0,0,0,1,0,0,0,5,6.2,16.9,40.0,6.3,1,0.24,0.09,0.33,0.14
447,Wood,16,4,9,3,90,1,0,0,1,0,0,0,0,0,0,3,31,41.2,7.3,81.0,13.0,1,0.47,0.01,0.48,0.74
447,Wood,16,4,2,4,80,0,0,1,0,0,0,0,0,0,0,0,4,4.4,10.6,17.0,3.2,1,0.13,0.01,0.14,0.85
447,Wood,16,4,8,5,71,1,0,0,2,0,0,0,0,0,0,2,32,33.4,0.3,17.0,5.1,1,0.79,0.00,0.79,0.87
447,Wood,16,4,2,6,90,0,0,0,1,0,0,0,0,0,0,0,3,3.4,1.3,0.0,0.5,1,0.00,0.02,0.02,1.33
