can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,GKP,4.3,2.8,3,3.8,15,,2025-01-30T11:00:08.979724Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p154561.png,3.9,False,25.8,a,Arsenal,3,93,0.7,16.9,Raya,2024-07-04,1995-09-15,False,p154561,2160,0,0,8,22,0,0,0,2,0,59,8,339,502.6,0.0,0.0,50.3,24,0.00,0.01,0.01,21.20,0,0,0,0,0,0,0,43,762,760,207,,,,0.0,2.46,0.0,0.0,0.88,0.92,1.0,0.33,Goalkeeper,0.0,16.91,-0.01,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",15,98ea5115,9676,262749,1,2024,9676,0.0,0,0.0,0.0,0,0,3.6,3.6
True,True,GKP,0.5,0.0,0,0.0,73,,2024-10-05T17:30:06.760449Z,4.1,https://resources.premierleague.com/premierleague/photos/players/250x250/p69752.png,3.5,False,0.8,a,Arsenal,3,7,0.0,1.7,Neto,2024-08-30,1989-07-19,False,p69752,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,2,0.00,0.00,0.0,2.91,0,0,0,0,0,0,0,361,601,568,408,,,,0.0,5.5,0.0,0.0,1.46,1.0,1.0,0.0,Goalkeeper,0.0,1.71,0.0,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",73,a9dc785c,1297,111819,1,2024,1297,0.0,0,0.0,0.0,0,0,0.43,0.43
True,True,GKP,5.0,3.0,2,3.0,47,,2025-01-11T01:30:08.408211Z,5.0,https://resources.premierleague.com/premierleague/photos/players/250x250/p98980.png,2.7,False,11.4,a,Aston Villa,7,65,0.6,13.0,Martinez,2020-09-16,1992-09-02,False,p98980,2115,0,0,3,36,0,1,0,2,0,62,2,261,533.4,0.0,0.0,53.4,24,0.00,0.01,0.01,29.40,0,0,0,0,0,0,0,28,741,735,197,,,,0.0,2.64,0.0,0.0,1.25,1.53,1.02,0.13,Goalkeeper,0.0,13.0,-0.01,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",47,7956236f,4401,111873,1,2024,4401,0.0,0,0.0,0.0,0,0,2.98,2.98
True,True,GKP,-1.0,0.0,0,0.0,51,,2024-10-18T16:30:05.894923Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p111782.png,1.0,False,0.1,a,Aston Villa,7,1,0.0,0.2,Olsen,2022-06-10,1990-01-08,False,p111782,45,0,0,0,1,0,0,0,0,0,2,0,3,17.6,0.0,0.0,1.8,0,0.00,0.00,0.0,0.79,0,0,0,0,0,0,0,439,641,623,474,,,,0.0,4.0,0.0,0.0,1.58,2.0,0.0,0.0,Goalkeeper,0.0,0.22,0.0,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",51,e7ee38c3,6962,75458,1,2024,6962,0.0,0,0.0,0.0,0,0,0.08,0.08
True,False,GKP,0.0,0.3,0,0.8,84,Loaned to Middlesbrough,2025-02-03T10:20:13.419620Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p229600.png,3.8,False,0.2,u,Bournemouth,91,19,0.2,4.3,Travers,2018-07-01,,False,p229600,450,0,0,1,5,0,0,0,0,0,20,1,76,146.4,0.0,0.0,14.6,5,0.00,0.01,0.01,7.36,0,0,0,0,0,0,0,281,623,599,370,,,,0.0,4.0,0.0,0.0,1.47,1.0,1.0,0.2,Goalkeeper,0.0,4.32,-0.01,"['Southampton', 'Away']","[2, 2, 3]",2.33,"['Southampton', 'Wolves', 'Brighton']","[2, 2, 3, 3, 2]",2.4,"['Southampton', 'Wolves', 'Brighton', 'Spurs', 'Brentford']",84,fe558029,7582,357658,1,2024,7582,0.0,0,0.0,0.0,0,0,0.51,0.51
True,True,GKP,4.0,2.5,2,3.0,152,,2025-01-04T19:30:08.158014Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p109745.png,3.8,False,2.3,a,Bournemouth,91,64,0.7,14.2,Arrizabalaga,2024-08-29,1994-10-03,False,p109745,1530,0,0,5,21,0,0,0,2,0,62,4,252,465.4,10.1,0.0,47.4,17,0.00,0.00,0.0,21.17,0,0,0,0,0,0,0,58,412,622,218,,,,0.0,3.65,0.0,0.0,1.25,1.24,1.0,0.29,Goalkeeper,0.0,14.22,0.0,"['Southampton', 'Away']","[2, 2, 3]",2.33,"['Southampton', 'Wolves', 'Brighton']","[2, 2, 3, 3, 2]",2.4,"['Southampton', 'Wolves', 'Brighton', 'Spurs', 'Brentford']",152,28d596a0,5061,192279,1,2024,5061,0.0,0,0.0,0.03,0,1,1.51,1.51
True,True,GKP,1.7,2.2,0,2.2,91,Muscle injury - 75% chance of playing,2025-02-03T02:00:08.276126Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p118342.png,3.0,False,8.9,d,Brentford,94,70,0.5,15.9,Flekken,2023-07-01,1993-06-13,False,p118342,2015,0,1,2,40,0,0,0,1,0,105,2,332,865.0,10.1,0.0,87.2,23,0.00,0.07,0.07,38.64,0,0,0,0,0,0,0,2,411,593,95,,,,0.0,4.69,0.0,0.0,1.73,1.79,1.03,0.09,Goalkeeper,1.0,15.91,0.93,"['West Ham', 'Away']","[2, 2, 2]",2.0,"['West Ham', 'Leicester', 'Everton']","[2, 2, 2, 3, 3]",2.4,"['West Ham', 'Leicester', 'Everton', 'Aston Villa', 'Bournemouth']",91,a92ab7be,7047,125714,1,2024,7047,0.0,0,0.0,0.32,0,1,4.58,4.58
True,True,GKP,0.2,0.2,1,0.2,109,,,3.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p507433.png,1.0,False,4.2,a,Brentford,94,2,0.1,0.5,Valdimarsson,2024-01-26,2001-10-13,False,p507433,144,0,0,0,2,0,0,0,0,0,3,0,14,21.4,0.1,0.0,2.1,1,0.00,0.00,0.0,1.49,0,0,0,0,0,0,0,430,485,483,467,,,,0.0,1.88,0.0,0.0,0.93,1.25,0.62,0.0,Goalkeeper,0.0,0.51,0.0,"['West Ham', 'Away']","[2, 2, 2]",2.0,"['West Ham', 'Leicester', 'Everton']","[2, 2, 2, 3, 3]",2.4,"['West Ham', 'Leicester', 'Everton', 'Aston Villa', 'Bournemouth']",109,57a34cf4,12595,488935,1,2024,12595,0.0,0,0.0,0.0,0,0,0.24,0.24
True,True,GKP,0.0,0.0,0,0.0,142,Shoulder injury - Unknown return date,2025-01-24T16:00:08.785970Z,4.1,https://resources.premierleague.com/premierleague/photos/players/250x250/p49262.png,4.5,False,0.8,i,Brighton,36,9,0.0,2.2,Steele,2018-07-01,1990-08-18,False,p49262,180,0,0,1,1,0,0,0,0,0,3,1,46,40.4,0.0,0.0,4.1,2,0.00,0.00,0.0,1.88,0,0,0,0,0,0,0,394,600,567,443,,,,0.0,1.5,0.0,0.0,0.94,0.5,1.0,0.5,Goalkeeper,0.0,2.2,0.0,"['Chelsea', 'Home']","[4, 2, 3]",3.0,"['Chelsea', 'Southampton', 'Bournemouth']","[4, 2, 3, 3, 4]",3.2,"['Chelsea', 'Southampton', 'Bournemouth', 'Fulham', 'Man City']",142,28300a16,7235,73564,1,2024,7235,0.0,0,0.0,0.0,0,0,0.41,0.41
True,True,GKP,1.7,1.7,-1,2.2,146,,2024-08-12T14:30:04.523944Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p489639.png,2.8,False,2.7,a,Brighton,36,61,0.5,13.6,Verbruggen,2023-07-03,2002-08-18,False,p489639,1980,0,0,4,37,0,0,0,4,0,59,4,225,534.2,0.0,0.0,53.5,22,0.00,0.01,0.01,34.59,0,0,0,0,0,0,0,26,670,653,196,,,,0.0,2.68,0.0,0.0,1.57,1.68,1.0,0.18,Goalkeeper,0.0,13.56,-0.01,"['Chelsea', 'Home']","[4, 2, 3]",3.0,"['Chelsea', 'Southampton', 'Bournemouth']","[4, 2, 3, 3, 4]",3.2,"['Chelsea', 'Southampton', 'Bournemouth', 'Fulham', 'Man City']",146,cf134113,11711,565093,1,2024,11711,0.0,0,0.0,0.0,0,0,4.01,4.01
