id,name,team,position,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
383,Onana,14,1,6,1,90,0,0,1,0,0,0,0,0,0,2,0,25,16.8,0.0,0.0,1.7,1,0.00,0.00,0.00,0.44
383,Onana,14,1,1,2,90,0,0,0,2,0,0,0,0,0,2,0,14,25.4,0.0,0.0,2.5,1,0.00,0.00,0.00,2.09
383,Onana,14,1,1,3,90,0,0,0,3,0,0,0,0,0,0,0,-1,6.0,0.0,0.0,0.6,1,0.00,0.00,0.00,1.73
383,Onana,14,1,13,4,90,0,0,1,0,0,1,0,0,0,3,1,38,49.8,0.0,0.0,5.0,1,0.00,0.00,0.00,1.12
383,Onana,14,1,9,5,90,0,0,1,0,0,0,0,0,0,4,2,32,34.0,0.0,0.0,3.4,1,0.00,0.00,0.00,1.01
383,Onana,14,1,3,6,90,0,0,0,3,0,0,0,0,0,7,0,11,52.2,0.0,0.0,5.2,1,0.00,0.00,0.00,4.59
383,Onana,14,1,6,7,90,0,0,1,0,0,0,0,0,0,1,0,21,7.6,0.0,0.0,0.8,1,0.00,0.00,0.00,0.42
383,Onana,14,1,2,8,90,0,0,0,1,0,0,0,0,0,1,0,10,10.6,13.0,0.0,2.4,1,0.00,0.19,0.19,0.86
185,Sánchez,6,1,2,1,90,0,0,0,2,0,0,0,0,0,3,0,7,23.4,0.0,0.0,2.3,1,0.00,0.00,0.00,0.77
185,Sánchez,6,1,1,2,90,0,0,0,2,0,0,0,0,0,2,0,8,15.0,0.0,0.0,1.5,1,0.00,0.00,0.00,1.92
185,Sánchez,6,1,2,3,90,0,0,0,1,0,0,0,0,0,2,0,16,16.4,0.0,0.0,1.6,1,0.00,0.00,0.00,0.44
185,Sánchez,6,1,15,4,90,0,0,1,0,0,1,0,1,0,7,3,40,66.2,0.0,0.0,6.6,1,0.00,0.00,0.00,1.78
185,Sánchez,6,1,10,5,90,0,0,1,0,0,0,0,0,0,7,2,39,52.2,0.0,0.0,5.2,1,0.00,0.00,0.00,0.85
185,Sánchez,6,1,2,6,90,0,0,0,2,0,0,0,0,0,4,0,7,16.8,0.0,0.0,1.7,1,0.00,0.00,0.00,1.11
185,Sánchez,6,1,4,7,90,0,0,0,1,0,0,0,0,0,8,0,21,56.4,0.0,0.0,5.6,1,0.00,0.00,0.00,0.85
185,Sánchez,6,1,2,8,90,0,0,0,2,0,0,0,0,0,3,0,13,26.8,0.0,0.0,2.7,1,0.00,0.01,0.01,1.94
443,Sels,16,1,3,1,90,0,0,0,1,0,0,0,0,0,3,0,13,23.8,0.0,0.0,2.4,1,0.00,0.00,0.00,1.22
443,Sels,16,1,6,2,90,0,0,1,0,0,0,0,0,0,1,0,21,5.0,0.0,0.0,0.5,1,0.00,0.00,0.00,0.14
443,Sels,16,1,2,3,90,0,0,0,1,0,0,0,0,0,1,0,5,9.4,0.0,0.0,0.9,1,0.00,0.00,0.00,0.74
443,Sels,16,1,9,4,90,0,0,1,0,0,0,0,1,0,5,3,29,37.8,0.0,0.0,3.8,1,0.00,0.00,0.00,0.94
443,Sels,16,1,1,5,90,0,0,0,2,0,0,0,0,0,1,0,1,10.2,0.0,0.0,1.0,1,0.00,0.00,0.00,0.94
443,Sels,16,1,2,6,90,0,0,0,1,0,0,0,0,0,1,0,5,10.4,0.1,0.0,1.1,1,0.00,0.04,0.04,1.33
443,Sels,16,1,3,7,90,0,0,0,1,0,0,0,1,0,7,0,17,54.2,0.0,0.0,5.4,1,0.00,0.00,0.00,2.27
443,Sels,16,1,11,8,90,0,0,1,0,0,0,0,0,0,7,3,34,51.6,0.0,0.0,5.2,1,0.00,0.00,0.00,1.12
15,Raya,1,1,8,1,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0.0,2.8,1,0.00,0.00,0.00,0.47
15,Raya,1,1,10,2,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,1,0.00,0.00,0.00,1.28
15,Raya,1,1,2,3,90,0,0,0,1,0,0,0,1,0,3,0,8,33.6,0.0,0.0,3.4,1,0.00,0.01,0.01,1.83
15,Raya,1,1,9,4,90,0,0,1,0,0,0,0,0,0,5,2,33,41.0,0.0,0.0,4.1,1,0.00,0.00,0.00,0.74
15,Raya,1,1,4,5,90,0,0,0,2,0,0,0,0,0,9,0,21,63.0,0.0,0.0,6.3,1,0.00,0.00,0.00,2.16
15,Raya,1,1,1,6,90,0,0,0,2,0,0,0,0,0,1,0,1,10.8,0.0,0.0,1.1,1,0.00,0.00,0.00,0.32
15,Raya,1,1,2,7,90,0,0,0,1,0,0,0,0,0,1,0,6,8.0,0.0,0.0,0.8,1,0.00,0.00,0.00,0.65
15,Raya,1,1,1,8,90,0,0,0,2,0,0,0,0,0,2,0,0,11.8,0.0,0.0,1.2,1,0.00,0.00,0.00,1.82
413,Pope,15,1,9,1,90,0,0,1,0,0,0,0,0,0,3,2,27,25.2,0.0,0.0,2.5,1,0.00,0.00,0.00,1.77
413,Pope,15,1,3,2,90,0,0,0,1,0,0,0,0,0,3,0,14,25.6,0.0,0.0,2.6,1,0.00,0.00,0.00,2.23
413,Pope,15,1,4,3,90,0,0,0,1,0,0,0,0,0,6,0,16,34.8,0.0,0.0,3.5,1,0.00,0.00,0.00,1.26
413,Pope,15,1,3,4,90,0,0,0,1,0,0,0,0,0,4,0,12,33.6,0.0,0.0,3.4,1,0.00,0.00,0.00,0.99
413,Pope,15,1,3,5,90,0,0,0,3,0,0,0,0,0,8,0,9,53.0,0.0,0.0,5.3,1,0.00,0.00,0.00,2.29
413,Pope,15,1,3,6,90,0,0,0,1,0,0,0,0,0,5,0,14,35.4,0.0,0.0,3.5,1,0.00,0.00,0.00,0.91
413,Pope,15,1,6,7,90,0,0,1,0,0,0,0,0,0,2,0,24,16.2,0.0,0.0,1.6,1,0.00,0.00,0.00,0.67
413,Pope,15,1,3,8,90,0,0,0,1,0,0,0,0,0,4,0,13,27.4,0.0,0.0,2.7,1,0.00,0.00,0.00,1.12
235,Pickford,8,1,1,1,90,0,0,0,3,0,0,0,0,0,2,0,2,23.8,0.0,0.0,2.4,1,0.00,0.02,0.02,1.43
235,Pickford,8,1,1,2,90,0,0,0,4,0,0,0,0,0,3,0,-5,21.2,0.1,0.0,2.1,1,0.00,0.00,0.00,2.43
235,Pickford,8,1,2,3,90,0,0,0,3,0,0,0,0,0,4,0,5,29.0,0.0,0.0,2.9,1,0.00,0.00,0.00,2.22
235,Pickford,8,1,2,4,90,0,0,0,3,0,0,0,0,0,4,0,7,32.4,0.0,0.0,3.2,1,0.00,0.01,0.01,2.12
235,Pickford,8,1,2,5,90,0,0,0,1,0,0,0,0,0,1,0,7,13.0,0.0,0.0,1.3,1,0.00,0.01,0.01,0.66
235,Pickford,8,1,2,6,90,0,0,0,1,0,0,0,1,0,3,0,9,20.2,0.0,0.0,2.0,1,0.00,0.01,0.01,0.95
235,Pickford,8,1,15,7,90,0,0,1,0,0,1,0,0,0,3,3,36,43.2,0.0,0.0,4.3,1,0.00,0.00,0.00,2.05
235,Pickford,8,1,6,8,90,0,0,1,0,0,0,0,0,0,2,0,28,15.8,0.0,0.0,1.6,1,0.00,0.00,0.00,1.25
47,Martinez,2,1,3,1,90,0,0,0,1,0,0,0,0,0,3,0,11,25.8,0.0,0.0,2.6,1,0.00,0.00,0.00,2.46
47,Martinez,2,1,1,2,90,0,0,0,2,0,0,0,0,0,2,0,10,18.4,0.0,0.0,1.8,1,0.00,0.00,0.00,0.87
47,Martinez,2,1,2,3,90,0,0,0,1,0,0,0,0,0,2,0,12,15.6,0.0,0.0,1.6,1,0.00,0.00,0.00,0.45
47,Martinez,2,1,0,4,90,0,0,0,2,0,0,0,1,0,0,0,-3,4.0,0.0,0.0,0.4,1,0.00,0.00,0.00,0.90
47,Martinez,2,1,3,5,90,0,0,0,1,0,0,0,0,0,3,0,11,29.6,0.0,0.0,3.0,1,0.00,0.00,0.00,0.51
47,Martinez,2,1,2,6,90,0,0,0,2,0,0,0,0,0,3,0,10,21.2,0.0,0.0,2.1,1,0.00,0.00,0.00,1.18
47,Martinez,2,1,9,7,90,0,0,1,0,0,0,0,0,0,4,2,30,27.8,0.0,0.0,2.8,1,0.00,0.00,0.00,0.52
47,Martinez,2,1,8,8,90,0,0,0,1,0,1,0,0,0,3,0,24,48.4,0.0,0.0,4.8,1,0.00,0.00,0.00,1.78
248,Leno,9,1,3,1,90,0,0,0,1,0,0,0,0,0,4,0,12,33.0,0.0,0.0,3.3,1,0.00,0.00,0.00,2.43
248,Leno,9,1,3,2,90,0,0,0,1,0,0,0,0,0,3,0,14,21.2,0.0,0.0,2.1,1,0.00,0.00,0.00,0.61
248,Leno,9,1,3,3,90,0,0,0,1,0,0,0,0,0,3,0,14,27.8,0.0,0.0,2.8,1,0.00,0.00,0.00,0.45
248,Leno,9,1,2,4,90,0,0,0,1,0,0,0,0,0,2,0,12,19.0,0.0,0.0,1.9,1,0.00,0.00,0.00,0.76
248,Leno,9,1,2,5,90,0,0,0,1,0,0,0,1,0,4,0,8,26.2,0.0,0.0,2.6,1,0.00,0.00,0.00,1.54
248,Leno,9,1,5,6,90,0,0,1,0,0,0,0,1,0,1,0,23,8.0,0.0,0.0,0.8,1,0.00,0.00,0.00,0.80
248,Leno,9,1,2,7,90,0,0,0,3,0,0,0,0,0,4,0,3,28.8,0.0,0.0,2.9,1,0.00,0.00,0.00,1.57
248,Leno,9,1,5,8,90,0,1,0,3,0,0,0,0,0,4,0,14,49.2,10.0,0.0,5.9,1,0.00,0.02,0.02,1.68
293,Hermansen,11,1,3,1,90,0,0,0,1,0,0,0,0,0,5,0,15,41.6,0.0,0.0,4.2,1,0.00,0.00,0.00,1.23
293,Hermansen,11,1,2,2,90,0,0,0,2,0,0,0,0,0,4,0,11,37.0,0.0,0.0,3.7,1,0.00,0.00,0.00,1.78
293,Hermansen,11,1,2,3,90,0,0,0,2,0,0,0,0,0,3,0,10,28.0,0.1,0.0,2.8,1,0.00,0.00,0.00,1.55
293,Hermansen,11,1,1,4,90,0,0,0,2,0,0,0,0,0,2,0,7,22.6,0.0,0.0,2.3,1,0.00,0.00,0.00,2.55
293,Hermansen,11,1,3,5,90,0,0,0,1,0,0,0,0,0,4,0,12,36.0,0.1,0.0,3.6,1,0.00,0.00,0.00,1.10
293,Hermansen,11,1,4,6,90,0,0,0,4,0,0,0,0,0,13,0,19,89.6,0.0,0.0,9.0,1,0.00,0.00,0.00,4.60
293,Hermansen,11,1,6,7,90,0,0,1,0,0,0,0,0,0,2,0,24,17.2,0.0,0.0,1.7,1,0.00,0.00,0.00,2.16
293,Hermansen,11,1,3,8,90,0,0,0,2,0,0,0,0,0,6,0,13,47.4,0.0,0.0,4.7,1,0.00,0.00,0.00,2.15
201,Henderson,7,1,2,1,90,0,0,0,2,0,0,0,0,0,3,0,5,26.4,0.0,0.0,2.6,1,0.00,0.00,0.00,1.59
201,Henderson,7,1,1,2,90,0,0,0,2,0,0,0,0,0,1,0,1,11.4,0.0,0.0,1.1,1,0.00,0.00,0.00,1.39
201,Henderson,7,1,4,3,90,0,0,0,1,0,0,0,0,0,6,0,18,42.6,0.0,0.0,4.3,1,0.00,0.00,0.00,2.27
201,Henderson,7,1,1,4,90,0,0,0,2,0,0,0,0,0,2,0,5,21.6,0.0,0.0,2.2,1,0.00,0.00,0.00,1.23
201,Henderson,7,1,9,5,90,0,0,1,0,0,0,0,1,0,7,2,32,52.2,0.0,0.0,5.2,1,0.00,0.00,0.00,1.70
201,Henderson,7,1,1,6,90,0,0,0,2,0,0,0,0,0,0,0,0,4.0,0.0,4.0,0.8,1,0.01,0.00,0.01,0.89
201,Henderson,7,1,3,7,90,0,0,0,1,0,0,0,0,0,3,0,12,19.4,0.0,0.0,1.9,1,0.00,0.00,0.00,1.40
201,Henderson,7,1,3,8,90,0,0,0,1,0,0,0,0,0,5,0,10,29.8,0.0,0.0,3.0,1,0.00,0.00,0.00,1.62
91,Flekken,4,1,4,1,90,0,0,0,1,0,0,0,0,0,6,0,22,46.4,0.0,0.0,4.6,1,0.00,0.00,0.00,1.17
91,Flekken,4,1,3,2,90,0,0,0,2,0,0,0,0,0,6,0,16,54.8,0.0,0.0,5.5,1,0.00,0.00,0.00,2.65
91,Flekken,4,1,3,3,90,0,0,0,1,0,0,0,0,0,5,0,18,37.4,0.0,0.0,3.7,1,0.00,0.00,0.00,1.57
91,Flekken,4,1,2,4,90,0,0,0,2,0,0,0,0,0,5,0,16,40.2,0.0,0.0,4.0,1,0.00,0.01,0.01,2.17
91,Flekken,4,1,3,5,90,0,0,0,3,0,0,0,0,0,6,0,13,55.2,0.0,0.0,5.5,1,0.00,0.01,0.01,3.52
91,Flekken,4,1,2,6,90,0,0,0,1,0,0,0,0,0,2,0,11,22.0,0.1,0.0,2.2,1,0.00,0.00,0.00,0.99
91,Flekken,4,1,2,7,90,0,0,0,3,0,0,0,0,0,3,0,5,23.2,0.0,0.0,2.3,1,0.00,0.00,0.00,1.05
91,Flekken,4,1,4,8,90,0,0,0,2,0,0,0,0,0,9,0,23,63.2,0.0,0.0,6.3,1,0.00,0.00,0.00,1.33
508,Vicario,18,1,2,1,90,0,0,0,1,0,0,0,0,0,2,0,16,26.0,0.0,0.0,2.6,1,0.00,0.00,0.00,1.02
508,Vicario,18,1,6,2,90,0,0,1,0,0,0,0,0,0,1,0,30,13.0,0.0,0.0,1.3,1,0.00,0.00,0.00,1.00
508,Vicario,18,1,1,3,90,0,0,0,2,0,0,0,0,0,1,0,4,9.8,0.0,0.0,1.0,1,0.00,0.00,0.00,1.57
508,Vicario,18,1,2,4,90,0,0,0,1,0,0,0,1,0,3,0,8,27.4,0.0,0.0,2.7,1,0.00,0.00,0.00,0.73
508,Vicario,18,1,3,5,90,0,0,0,1,0,0,0,0,0,5,0,17,40.0,0.0,0.0,4.0,1,0.00,0.00,0.00,0.80
508,Vicario,18,1,6,6,90,0,0,1,0,0,0,0,0,0,2,0,31,19.0,0.0,0.0,1.9,1,0.00,0.00,0.00,0.96
508,Vicario,18,1,1,7,90,0,0,0,3,0,0,0,0,0,1,0,6,12.4,0.0,0.0,1.2,1,0.00,0.00,0.00,1.82
508,Vicario,18,1,2,8,90,0,0,0,1,0,0,0,0,0,2,0,12,18.6,0.0,0.0,1.9,1,0.00,0.00,0.00,0.78
