can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,MID,0.0,0.5,0,0.0,7,,2025-01-12T22:00:07.826638Z,4.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p85955.png,1.2,False,0.2,a,Arsenal,3,13,0.0,2.8,Jorginho,2023-01-31,1991-12-20,False,p85955,471,0,0,1,5,0,0,0,4,0,0,0,81,36.4,65.0,3.0,10.5,6,0.04,0.47,0.51,4.32,0,0,0,0,0,0,0,414,293,440,399,,,,0.01,0.0,0.09,0.1,0.83,0.96,1.15,0.19,Midfielder,0.0,2.77,-0.51,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",7,45db685d,1389,102017,1,2024,1389,0.04,0,0.04,0.46,1,3,3.27,2.83
True,True,MID,0.0,0.0,0,2.0,9,Hamstring injury - Expected back 01 Apr,2025-02-06T00:00:08.092348Z,6.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p444145.png,4.0,False,2.1,i,Arsenal,3,89,0.3,13.5,Martinelli,2019-07-15,2001-06-18,False,p444145,1452,6,3,7,15,0,0,0,1,0,0,6,283,389.4,356.9,570.0,131.6,16,4.04,2.96,7.0,14.75,0,0,0,0,0,0,0,112,73,29,46,,,,0.25,0.0,0.18,0.43,0.91,0.93,0.99,0.43,Midfielder,9.0,13.48,2.0,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",9,48a5a5d6,7752,655488,1,2024,7752,5.67,6,5.67,2.95,28,25,9.85,2.78
True,True,MID,4.5,5.0,2,4.5,12,,2025-01-04T22:00:06.872110Z,4.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p499175.png,2.6,False,4.2,a,Arsenal,3,41,1.0,8.9,Nwaneri,2022-09-17,2007-03-21,False,p499175,451,3,1,1,2,0,0,0,1,0,0,4,159,186.8,141.5,140.0,46.8,5,0.75,1.11,1.86,3.46,0,0,0,0,0,0,0,258,198,172,237,,,,0.15,0.0,0.22,0.37,0.69,0.4,1.0,0.2,Midfielder,4.0,8.91,2.14,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",12,7f94982c,11132,890719,1,2024,11132,1.2,3,1.2,0.75,14,8,3.23,1.84
True,True,MID,2.8,3.3,2,2.8,13,,2024-09-10T00:30:06.311550Z,8.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p184029.png,3.6,False,5.1,a,Arsenal,3,65,0.3,7.9,Ødegaard,2021-08-20,1998-12-17,False,p184029,1461,2,3,7,12,0,0,0,2,0,0,6,299,305.6,590.5,296.0,119.5,17,3.24,4.28,7.52,12.01,0,0,0,0,0,0,0,168,21,75,55,3.0,1.0,2.0,0.2,0.0,0.26,0.46,0.74,0.74,1.05,0.43,Midfielder,5.0,7.93,-2.52,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",13,79300479,2517,316264,1,2024,2517,4.34,1,3.58,4.67,28,38,13.93,8.35
True,True,MID,4.2,4.7,1,4.2,16,,2024-12-14T22:30:07.561621Z,6.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p204480.png,3.0,False,2.8,a,Arsenal,3,73,0.7,11.8,Rice,2023-07-15,1999-01-14,False,p204480,1884,1,5,7,21,0,0,0,3,1,0,8,410,444.6,665.9,211.0,131.7,22,1.61,4.22,5.83,17.52,0,0,0,0,0,0,0,84,12,114,45,2.0,2.0,,0.08,0.0,0.2,0.28,0.84,1.0,1.05,0.33,Midfielder,6.0,11.77,0.17,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",16,1c7012b8,5553,357662,1,2024,5553,1.54,1,1.54,7.58,26,41,11.8,7.4
True,True,MID,0.0,0.0,0,0.0,17,Hamstring injury - Expected back 01 Apr,2024-12-21T21:30:07.668871Z,10.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p223340.png,6.7,False,8.7,i,Arsenal,3,107,0.0,10.5,Saka,2018-11-28,2001-09-05,False,p223340,1268,5,11,6,13,0,0,0,3,0,0,16,435,516.2,630.0,604.0,174.9,16,4.17,5.60,9.77,10.52,0,0,0,0,0,0,0,52,19,22,14,1.0,,1.0,0.3,0.0,0.4,0.7,0.75,0.92,1.14,0.43,Midfielder,16.0,10.49,6.23,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",17,bc7dc64d,7322,433177,1,2024,7322,5.05,4,4.29,9.62,46,42,11.11,4.76
True,True,MID,3.8,4.3,1,3.8,20,,2024-11-30T22:00:07.258906Z,4.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p167199.png,3.2,False,0.8,a,Arsenal,3,80,0.8,16.3,Thomas,2020-10-05,1993-06-13,False,p167199,2015,3,3,6,21,0,0,0,3,0,0,6,432,465.6,287.1,139.0,89.4,22,1.57,2.03,3.6,20.71,0,0,0,0,0,0,0,70,97,175,106,,,,0.07,0.0,0.09,0.16,0.93,0.94,0.98,0.27,Midfielder,6.0,16.33,2.4,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",20,529f49ab,2328,230784,1,2024,2328,1.35,3,1.35,2.39,19,15,11.31,10.29
True,True,MID,3.2,3.7,2,3.2,23,,2024-11-21T08:30:08.540890Z,6.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p116216.png,3.6,False,3.6,a,Arsenal,3,93,0.5,13.5,Trossard,2023-01-20,1994-12-04,False,p116216,1629,4,6,7,17,0,0,0,1,1,0,10,352,388.8,419.2,481.0,128.7,18,3.76,2.88,6.64,13.85,0,0,0,0,0,0,0,113,55,41,49,4.0,,4.0,0.21,0.0,0.16,0.37,0.77,0.94,0.99,0.39,Midfielder,10.0,13.48,3.36,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",23,38ceb24a,7698,144028,1,2024,7698,5.44,4,5.44,5.63,42,30,13.86,5.04
True,True,MID,1.2,1.7,1,1.2,186,,2024-12-21T21:30:08.006504Z,6.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p103955.png,1.5,False,0.8,a,Arsenal,3,16,0.2,2.4,Sterling,2024-08-30,1994-12-08,False,p103955,290,0,1,1,2,0,0,0,1,0,0,0,35,39.6,76.6,99.0,21.3,4,1.04,0.33,1.37,2.07,0,0,0,0,0,0,0,408,277,221,345,,3.0,,0.32,0.0,0.1,0.42,0.64,0.62,1.24,0.31,Midfielder,1.0,2.39,-0.37,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",186,b400bde0,618,134425,1,2024,618,0.76,0,0.76,0.34,8,5,1.66,0.8
True,True,MID,0.0,2.0,-2,1.5,597,Suspended until 09 Feb,2025-02-22T21:00:10.286547Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p499169.png,1.5,False,0.4,s,Arsenal,3,18,0.3,4.0,Lewis-Skelly,2022-12-04,2006-09-26,False,p499169,640,1,0,3,7,0,0,0,2,2,0,0,119,109.2,74.6,37.0,21.7,8,0.04,0.26,0.3,5.72,0,0,0,0,0,0,0,332,282,310,343,,,,0.01,0.0,0.04,0.05,0.8,0.98,1.12,0.42,Midfielder,1.0,4.0,0.7,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",597,5dff6c28,12272,890721,1,2024,12272,0.09,1,0.09,0.16,1,3,2.67,2.54
