id,name,team,position,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
328,M.Salah,12,3,14,1,90,1,1,1,0,0,0,0,0,0,0,3,38,58.0,24.4,70.0,15.2,1,0.70,0.15,0.85,0.45
328,M.Salah,12,3,10,2,82,1,0,1,0,0,0,0,0,0,0,2,34,38.8,6.2,52.0,9.7,1,0.50,0.25,0.75,0.36
328,M.Salah,12,3,17,3,90,1,2,1,0,0,0,0,0,0,0,3,60,76.8,42.1,42.0,16.1,1,0.50,0.63,1.13,1.36
328,M.Salah,12,3,2,4,90,0,0,0,1,0,0,0,0,0,0,0,9,10.2,20.0,53.0,8.3,1,0.13,0.13,0.26,0.44
328,M.Salah,12,3,6,5,90,0,1,1,0,0,0,0,0,0,0,0,31,42.0,68.3,90.0,20.0,1,0.61,0.17,0.78,1.08
328,M.Salah,12,3,10,6,90,1,0,0,1,0,0,0,0,0,0,3,32,45.6,23.6,58.0,12.7,1,1.32,0.05,1.37,0.63
328,M.Salah,12,3,3,7,72,0,0,1,0,0,0,0,0,0,0,0,5,4.8,3.4,34.0,4.2,1,0.21,0.02,0.23,0.49
328,M.Salah,12,3,12,8,90,1,1,0,1,0,0,0,0,0,0,2,42,61.4,25.8,28.0,11.5,1,0.80,0.12,0.92,0.99
328,M.Salah,12,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
182,Palmer,6,3,2,1,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,37.8,10.0,6.8,1,0.07,0.19,0.26,0.77
182,Palmer,6,3,17,2,82,1,3,0,2,0,0,0,1,0,0,2,61,82.8,43.8,21.0,14.8,1,0.67,0.15,0.82,1.80
182,Palmer,6,3,6,3,90,0,1,0,1,0,0,0,1,0,0,2,29,30.8,62.2,14.0,10.7,1,0.11,0.70,0.81,0.44
182,Palmer,6,3,3,4,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,13.3,0.0,2.5,1,0.00,0.03,0.03,1.78
182,Palmer,6,3,8,5,63,1,0,1,0,0,0,0,0,0,0,0,27,35.6,16.4,21.0,7.3,1,0.42,0.00,0.42,0.57
182,Palmer,6,3,25,6,90,4,0,0,2,0,0,0,0,0,0,3,97,149.0,54.7,82.0,28.6,1,2.41,0.62,3.03,1.11
182,Palmer,6,3,6,7,90,0,1,0,1,0,0,0,1,0,0,2,32,36.0,69.9,56.0,16.2,1,0.39,0.10,0.49,0.85
182,Palmer,6,3,2,8,90,0,0,0,2,0,0,0,0,0,0,0,8,2.2,16.3,18.0,3.7,1,0.38,0.17,0.55,1.94
182,Palmer,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
99,Mbeumo,4,3,9,1,89,1,0,0,1,0,0,0,0,0,0,2,35,40.8,50.2,17.0,10.8,1,0.09,0.45,0.54,1.17
99,Mbeumo,4,3,1,2,90,0,0,0,2,0,0,0,1,0,0,0,6,5.4,17.7,7.0,3.0,1,0.03,0.12,0.15,2.65
99,Mbeumo,4,3,14,3,90,2,0,0,1,0,0,0,1,0,0,3,64,82.8,41.0,54.0,17.8,1,0.81,0.34,1.15,1.57
99,Mbeumo,4,3,2,4,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,49.1,11.0,7.0,1,0.19,0.35,0.54,2.17
99,Mbeumo,4,3,8,5,90,1,0,0,3,0,0,0,0,0,0,1,31,43.2,2.4,55.0,10.1,1,0.64,0.02,0.66,3.52
99,Mbeumo,4,3,9,6,90,1,0,0,1,0,0,0,0,0,0,2,27,42.4,21.6,38.0,10.2,1,0.25,0.41,0.66,0.99
99,Mbeumo,4,3,8,7,90,1,0,0,3,0,0,0,0,0,0,1,38,46.6,47.3,24.0,11.8,1,0.84,0.29,1.13,1.05
99,Mbeumo,4,3,2,8,90,0,0,0,2,0,0,0,0,0,0,0,15,24.4,33.7,4.0,6.2,1,0.03,0.05,0.08,1.33
99,Mbeumo,4,3,15,9,90,2,0,0,3,0,0,0,0,0,0,3,52,76.4,18.7,36.0,13.1,1,0.91,0.38,1.29,1.36
327,Luis Díaz,12,3,3,1,90,0,0,1,0,0,0,0,0,0,0,0,13,9.6,37.1,31.0,7.8,1,0.46,0.38,0.84,0.45
327,Luis Díaz,12,3,14,2,71,1,1,1,0,0,0,0,0,0,0,3,51,68.6,48.7,44.0,16.1,1,0.87,0.17,1.04,0.36
327,Luis Díaz,12,3,15,3,65,2,0,1,0,0,0,0,0,0,0,2,45,67.6,1.3,56.0,12.5,1,0.60,0.01,0.61,0.49
327,Luis Díaz,12,3,3,4,60,0,0,1,0,0,0,0,0,0,0,0,6,3.4,3.8,8.0,1.5,1,0.11,0.03,0.14,0.14
327,Luis Díaz,12,3,16,5,71,2,0,1,0,0,0,0,0,0,0,3,59,78.6,15.8,60.0,15.4,1,0.59,0.09,0.68,0.54
327,Luis Díaz,12,3,2,6,72,0,0,0,1,0,0,0,0,0,0,0,6,2.8,13.9,17.0,3.4,1,0.12,0.05,0.17,0.62
327,Luis Díaz,12,3,1,7,17,0,0,0,0,0,0,0,0,0,0,0,4,6.4,16.0,9.0,3.1,0,0.07,0.01,0.08,0.15
327,Luis Díaz,12,3,1,8,24,0,0,0,0,0,0,0,0,0,0,0,4,3.2,1.3,11.0,1.6,0,0.07,0.01,0.08,0.36
327,Luis Díaz,12,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17,Saka,1,3,12,1,79,1,1,1,0,0,0,0,1,0,0,2,42,64.2,61.7,78.0,20.4,1,0.35,0.37,0.72,0.32
17,Saka,1,3,6,2,87,0,1,1,0,0,0,0,0,0,0,0,21,27.8,27.4,27.0,8.2,1,0.05,0.10,0.15,1.25
17,Saka,1,3,6,3,90,0,1,0,1,0,0,0,0,0,0,1,21,34.8,21.2,88.0,14.4,1,0.95,0.20,1.15,1.83
17,Saka,1,3,7,4,85,0,1,1,0,0,0,0,0,0,0,1,25,27.0,35.0,13.0,7.5,1,0.05,0.35,0.40,0.65
17,Saka,1,3,4,5,45,0,1,0,1,0,0,0,0,0,0,0,19,18.6,28.8,0.0,4.7,1,0.00,0.41,0.41,0.60
17,Saka,1,3,3,6,90,0,0,0,2,0,0,0,0,0,0,1,37,38.6,114.3,62.0,21.5,1,0.29,0.79,1.08,0.32
17,Saka,1,3,16,7,90,1,2,0,1,0,0,0,0,0,0,3,67,84.2,90.0,73.0,24.7,1,0.31,0.93,1.24,0.65
