league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes
ENG-Premier League,2425,Brentford,2024-08-18 Brentford-Crystal Palace,2024-08-18,14:00:00,Matchweek 1,Sun,Home,W,2,1,Crystal Palace,1.6,1.2,46,16988,Christian Nørgaard,4-3-3,3-4-3,Samuel Barrott,/en/matches/b63822b9/Brentford-Crystal-Palace-August-18-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-08-25 Liverpool-Brentford,2024-08-25,16:30:00,Matchweek 2,Sun,Away,L,0,2,Liverpool,0.5,2.5,38,60017,Christian Nørgaard,4-4-2,4-2-3-1,Stuart Attwell,/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-08-31 Brentford-Southampton,2024-08-31,15:00:00,Matchweek 3,Sat,Home,W,3,1,Southampton,2.8,1.5,37,16955,Christian Nørgaard,4-3-3,3-5-2,Joshua Smith,/en/matches/fec3438b/Brentford-Southampton-August-31-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-09-14 Manchester City-Brentford,2024-09-14,15:00:00,Matchweek 4,Sat,Away,L,1,2,Manchester City,1.0,2.1,46,52148,Christian Nørgaard,5-3-2,4-2-3-1,Darren Bond,/en/matches/54405f8a/Manchester-City-Brentford-September-14-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-09-21 Tottenham-Brentford,2024-09-21,15:00:00,Matchweek 5,Sat,Away,L,1,3,Tottenham,0.8,3.5,52,61246,Vitaly Janelt,5-3-2,4-3-3,John Brooks,/en/matches/9511708f/Tottenham-Hotspur-Brentford-September-21-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-09-28 Brentford-West Ham,2024-09-28,15:00:00,Matchweek 6,Sat,Home,D,1,1,West Ham,0.4,1.0,57,17050,Vitaly Janelt,4-4-2,4-1-4-1,Simon Hooper,/en/matches/9c4f2bcd/Brentford-West-Ham-United-September-28-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-10-05 Brentford-Wolves,2024-10-05,15:00:00,Matchweek 7,Sat,Home,W,5,3,Wolves,4.2,1.0,44,16960,Christian Nørgaard,4-2-3-1,4-1-4-1,Andy Madley,/en/matches/909090f8/Brentford-Wolverhampton-Wanderers-October-5-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-10-19 Manchester Utd-Brentford,2024-10-19,15:00:00,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,0.9,1.3,50,73738,Christian Nørgaard,4-2-3-1,4-2-3-1,Samuel Barrott,/en/matches/7f2c3291/Manchester-United-Brentford-October-19-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-10-26 Brentford-Ipswich Town,2024-10-26,15:00:00,Matchweek 9,Sat,Home,W,4,3,Ipswich Town,4.0,1.3,65,17109,Christian Nørgaard,4-2-3-1,4-2-3-1,Lewis Smith,/en/matches/1fb2dcde/Brentford-Ipswich-Town-October-26-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-11-04 Fulham-Brentford,2024-11-04,20:00:00,Matchweek 10,Mon,Away,L,1,2,Fulham,0.6,1.3,32,24931,Christian Nørgaard,4-2-3-1,4-2-3-1,Stuart Attwell,/en/matches/e1590847/Fulham-Brentford-November-4-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-11-09 Brentford-Bournemouth,2024-11-09,15:00:00,Matchweek 11,Sat,Home,W,3,2,Bournemouth,1.5,2.6,51,16587,Christian Nørgaard,4-3-3,4-2-3-1,Darren Bond,/en/matches/1c998ef5/Brentford-Bournemouth-November-9-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-11-23 Everton-Brentford,2024-11-23,15:00:00,Matchweek 12,Sat,Away,D,0,0,Everton,1.1,1.2,41,38915,Christian Nørgaard,4-3-3,4-2-3-1,Chris Kavanagh,/en/matches/dd7675a7/Everton-Brentford-November-23-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-11-30 Brentford-Leicester City,2024-11-30,15:00:00,Matchweek 13,Sat,Home,W,4,1,Leicester City,2.4,1.1,60,17084,Christian Nørgaard,4-2-3-1,3-4-3,Michael Oliver,/en/matches/f4f9a64f/Brentford-Leicester-City-November-30-2024-Premier-League,
ENG-Premier League,2425,Brentford,2024-12-04 Aston Villa-Brentford,2024-12-04,20:15:00,Matchweek 14,Wed,Away,L,1,3,Aston Villa,0.9,2.4,51,,Vitaly Janelt,4-3-3,4-2-3-1,Lewis Smith,/en/matches/c24a734b/Aston-Villa-Brentford-December-4-2024-Premier-League,
