player,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,SCA_SCA,SCA_SCA90,GCA_GCA,GCA_GCA90,Touches_Att3rd,Touches_AttPen,Take-Ons_Att,Take-Ons_Succ,Total_Cmp,Total_Att,Total_Cmp%,KP_,1/3_,PPA_,CrsPA_,Tackles_Tkl,Tackles_TklW,Int_,Tkl+Int_,Blocks_Sh,Clr_,Err_
Aaron Cresswell,0,0,0,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.24,0.05,0.24,1,0,0.0,1.38,0.0,0.0,0.0,5,6.92,0,0.0,12,0,0,0,34,50,68.0,3,3,0,0,2,0,0,2,0,5,0
Aaron Ramsdale,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.14,0,0.0,0,0,0,0,418,611,68.4,0,18,1,0,0,0,2,2,0,8,2
Aaron Wan-Bissaka,2,1,3,2,0,0.9,0.9,1.2,2.2,0.11,0.05,0.16,0.11,0.16,0.05,0.06,0.11,0.05,0.11,11,3,27.3,0.58,0.16,0.18,0.67,51,2.68,4,0.21,307,26,59,30,748,925,80.9,18,53,14,4,36,28,34,70,6,61,0
Abdoulaye Doucouré,0,0,0,0,0,0.9,0.9,0.9,1.8,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.11,0.06,0.11,11,2,18.2,0.69,0.13,0.0,0.0,31,1.96,1,0.06,209,21,17,10,448,551,81.3,17,28,7,0,29,16,6,35,4,13,1
Abdul Fatawu Issahaku,0,2,2,0,0,0.4,0.4,1.6,2.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,13,5,38.5,2.02,0.78,0.0,0.0,17,2.64,3,0.47,157,26,69,29,123,197,62.4,6,7,7,2,21,15,4,25,0,12,0
Adam Armstrong,2,2,4,2,0,3.2,2.3,1.2,3.5,0.16,0.16,0.32,0.16,0.32,0.26,0.09,0.35,0.18,0.28,23,6,26.1,1.83,0.48,0.09,0.33,19,1.51,4,0.32,174,45,14,6,206,255,80.8,9,9,8,2,11,2,3,14,1,6,0
Adam Lallana,0,2,2,0,0,0.2,0.2,0.9,1.1,0.0,0.55,0.55,0.0,0.55,0.05,0.25,0.29,0.05,0.29,3,0,0.0,0.82,0.0,0.0,0.0,8,2.2,2,0.55,66,6,11,5,210,243,86.4,4,20,9,3,7,5,4,11,1,5,0
Adam Smith,0,0,0,0,0,0.6,0.6,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,1,0,0.0,0.09,0.0,0.0,0.0,12,1.04,1,0.09,115,3,11,4,312,407,76.7,3,31,3,1,16,8,11,27,2,37,1
Adam Webster,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1,1,100.0,0.54,0.54,0.0,0.0,1,0.54,0,0.0,8,2,2,1,161,178,90.4,0,16,0,0,3,2,2,5,3,6,1
Adam Wharton,0,0,0,0,0,0.2,0.2,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,9,5,55.6,1.3,0.72,0.0,0.0,26,3.77,1,0.14,109,6,7,1,285,362,78.7,8,39,11,2,18,10,10,28,0,13,0
Adama Traoré,1,3,4,1,0,3.1,3.1,2.9,6.1,0.09,0.28,0.37,0.09,0.37,0.29,0.27,0.57,0.29,0.57,25,8,32.0,2.33,0.75,0.04,0.13,46,4.29,3,0.28,256,56,56,29,232,325,71.4,25,17,17,10,9,5,1,10,0,4,1
Alejandro Garnacho,3,1,4,3,0,4.8,4.8,2.4,7.2,0.24,0.08,0.32,0.24,0.32,0.38,0.19,0.57,0.38,0.57,46,19,41.3,3.68,1.52,0.07,0.16,38,3.04,2,0.16,328,82,49,13,329,418,78.7,18,12,8,1,15,10,7,22,0,9,2
Alex Iwobi,7,3,10,7,0,3.2,3.2,4.7,7.9,0.35,0.15,0.5,0.35,0.5,0.16,0.24,0.39,0.16,0.39,41,19,46.3,2.05,0.95,0.17,0.37,90,4.49,12,0.6,535,71,59,32,699,922,75.8,42,71,56,7,26,15,7,33,1,22,0
Alex McCarthy,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,90,117,76.9,0,2,0,0,0,0,0,0,0,1,4
Alex Scott,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,3,1,33.3,1.03,0.34,0.0,0.0,11,3.75,0,0.0,58,5,13,2,116,132,87.9,5,22,4,0,16,7,6,22,1,5,0
Alexander Isak,15,5,20,15,0,12.5,12.5,3.5,16.1,0.88,0.29,1.17,0.88,1.17,0.73,0.21,0.94,0.73,0.94,58,27,46.6,3.39,1.58,0.26,0.56,64,3.74,9,0.53,365,112,60,28,295,399,73.9,32,22,12,0,7,3,1,8,1,8,1
