ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
1,"Fábio Vieira",ARS,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,G.Jesus,ARS,FWD,6.8,1.76488,1.5073,1.63415,1.45938,1.41805,1.53909,1.55355,1.61448,1.39688,1.64836,1.69984,1.46708,1.46355,1.44856,1.57032,1.49285,1.68696,1.47589,1.71728,1.66324,1.18354,1.61223,1.82137,0
3,Gabriel,ARS,DEF,6.2,1.79477,2.6098,2.54345,3.09654,2.81798,2.69855,2.6376,2.87196,2.6696,2.86917,2.71696,2.75987,2.90453,2.75651,2.61914,2.74447,2.6702,2.62215,2.66385,2.72668,2.95623,2.74615,2.86952,0
4,Havertz,ARS,FWD,7.9,2.81506,2.49884,2.7854,2.52285,2.47121,2.69814,2.72117,2.67926,2.54629,2.69964,2.8717,2.51646,2.51586,2.61724,2.72339,2.53057,2.84223,2.53705,2.86136,2.82427,2.22199,2.77638,2.89249,0
5,Hein,ARS,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,J.Timber,ARS,DEF,5.6,2.79725,2.91724,2.79871,3.18038,2.87508,2.84075,2.79884,2.97389,2.76162,2.94419,2.91943,2.81331,2.96403,2.89546,2.7577,2.77432,2.83949,2.70293,2.8197,2.90098,2.95772,2.91441,3.00556,0
7,Jorginho,ARS,MID,4.7,1.31095,1.26468,1.2684,1.28602,1.21501,1.25103,1.24266,1.3192,1.17651,1.34476,1.33177,1.23082,1.25645,1.23251,1.23874,1.24848,1.30569,1.19978,1.31261,1.31438,1.13227,1.29911,1.42073,0
8,Kiwior,ARS,DEF,4.8,1.63477,1.81103,1.6582,2.03311,1.79971,1.73717,1.68929,1.8121,1.73112,1.78292,1.73327,1.73468,1.85866,1.80469,1.66354,1.69962,1.68792,1.63539,1.67177,1.74135,1.95062,1.76729,1.76822,0
9,Martinelli,ARS,MID,6.8,2.04961,1.75836,2.04329,1.83469,1.71496,1.93756,1.97236,1.89206,1.7698,1.86794,2.13227,1.72172,1.75962,1.93163,1.90841,1.69589,2.02635,1.73815,1.99328,2.05336,1.54322,2.03462,2.04632,0
10,Nelson,FUL,MID,5,0.15178,0.64657,1.29198,1.75066,1.85454,2.11209,2.12577,1.86332,1.93956,1.95847,1.9494,2.12629,1.95178,1.8748,1.79245,1.78683,1.92775,1.85413,2.28502,1.94765,1.96313,2.0681,1.76571,0
11,Nketiah,CRY,FWD,5.9,1.56248,1.44042,1.55528,1.78266,1.49171,1.78882,1.73549,1.69756,1.61218,1.75173,1.63637,1.58315,1.65041,1.51383,1.96091,1.60088,1.3589,1.6778,1.31334,1.70332,1.56201,1.72514,1.33956,0
12,Nwaneri,ARS,MID,4.5,1.08167,1.02852,1.03571,1.03361,0.97719,1.02232,1.01286,1.05958,0.96205,1.08751,1.08698,0.99195,1.01294,1.00555,1.01245,1.01228,1.06825,0.95941,1.07629,1.0749,0.91542,1.06177,1.14194,0
13,Ødegaard,ARS,MID,8.3,3.79761,3.41803,3.79536,3.60303,3.34375,3.52964,3.62887,3.73773,3.20111,3.59076,3.91842,3.33246,3.4058,3.53576,3.47388,3.19814,3.68617,3.46785,3.59497,3.74161,2.91425,3.71274,4.05684,0
14,Ramsdale,SOU,GK,4.4,0.0367,2.75552,2.66639,3.08798,2.58876,3.55664,3.56932,3.55588,3.21618,3.30148,3.30271,4.13678,4.78007,3.16611,3.22317,4.11684,3.16017,3.78128,3.28642,3.50844,3.67346,3.76096,3.28312,0
15,Raya,ARS,GK,5.6,3.31153,3.91754,3.05847,4.26597,4.13364,3.73032,3.40947,3.81859,3.92389,3.7068,3.45964,3.76841,4.31407,3.70711,3.53611,3.9613,3.36639,3.41373,3.47277,3.55091,4.98229,3.80561,4.49426,0
16,Rice,ARS,MID,6.2,3.18986,3.14244,3.30833,3.33295,3.14715,3.17305,3.22101,3.43201,2.95308,3.36356,3.42889,3.15081,3.20579,3.16357,3.13715,3.08504,3.2907,3.21123,3.24714,3.32452,2.8523,3.29929,3.67345,0
17,Saka,ARS,MID,10.5,4.91775,3.74786,4.91506,4.08045,3.6695,4.41796,4.63967,4.29021,3.8313,3.97803,5.12296,3.62679,3.73756,4.45958,4.31642,3.34836,4.66821,3.92061,4.46438,4.774,2.95853,4.7358,4.77036,0
18,Saliba,ARS,DEF,6.2,3.28791,3.4302,3.27578,3.67745,3.38374,3.32852,3.27403,3.54102,3.22582,3.5548,3.43,3.35271,3.49181,3.33159,3.27067,3.35014,3.38358,3.22464,3.3982,3.42335,3.39298,3.4131,3.64842,0
19,"Smith Rowe",FUL,MID,5.5,2.17888,2.48708,2.31709,2.47833,2.44128,2.518,2.53327,2.3541,2.34198,2.46903,2.44767,2.53168,2.35358,2.37325,2.19156,2.26663,2.32956,2.35602,2.69424,2.34946,2.47412,2.47238,2.23413,0
20,Thomas,ARS,MID,5,2.3686,2.15489,2.26056,2.119,2.02614,2.1741,2.17987,2.163,2.05556,2.18055,2.30714,2.04219,2.0744,2.15703,2.15427,2.05215,2.24914,2.01793,2.24304,2.26541,1.90994,2.24655,2.29206,0
21,Tierney,ARS,DEF,4.3,0.04989,0.05491,0.05068,0.06098,0.05458,0.05248,0.05135,0.05532,0.052,0.05441,0.05276,0.05286,0.0562,0.05431,0.05047,0.05181,0.05129,0.05039,0.05073,0.05277,0.05808,0.05345,0.05452,0
22,Tomiyasu,ARS,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Trossard,ARS,MID,6.8,2.47677,2.17877,2.47438,2.27917,2.1251,2.33295,2.38614,2.35336,2.10687,2.31661,2.59689,2.13217,2.18044,2.33056,2.29245,2.0942,2.44743,2.15925,2.39632,2.48553,1.901,2.46267,2.5507,0
24,White,ARS,DEF,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Zinchenko,ARS,DEF,4.8,1.05921,1.39803,1.54895,1.78736,1.6137,1.66596,1.63226,1.66055,1.62222,1.65716,1.70687,1.58029,1.66842,1.68542,1.62311,1.5693,1.67512,1.50059,1.67596,1.70544,1.68021,1.70826,1.67243,0
26,"Alex Moreno",NFO,DEF,4.4,0,2.18105,1.94697,1.84964,1.97906,1.94404,1.85333,1.91508,1.90848,1.9929,2.06562,1.89132,1.91234,1.79304,1.86109,2.07889,1.87251,2.13771,1.9182,1.96264,2.04736,2.01641,2.0075,0
27,Archer,SOU,FWD,5,2.06429,2.09961,2.24565,2.12337,2.23211,2.09048,2.09261,2.16738,2.10718,2.21281,2.13202,1.94638,1.80254,2.2646,2.25515,2.03844,2.11506,2.22084,2.12425,2.27558,1.96369,2.11282,1.9635,0
