FPL_ID,fbref_id,Understat_ID,transfermarkt
1,6412cc03,11007,537598
2,b66315ae,5543,363205
3,67ac5bb8,5613,435338
4,fed7cb61,5220,309400
5,aa81d8f8,9692,493513
6,41034650,11707,420243
7,45db685d,1389,102017
8,dc3e663e,10012,425918
9,48a5a5d6,7752,655488
10,c5bdb6e3,6492,340325
11,a53649b7,6482,340324
12,7f94982c,11132,890719
13,79300479,2517,316264
14,466fb2c5,5603,427568
15,98ea5115,9676,262749
16,1c7012b8,5553,357662
17,bc7dc64d,7322,433177
18,972aeb2a,6888,495666
19,17695062,7230,392765
20,529f49ab,2328,230784
21,fce2302c,8089,300716
22,b3af9be1,7931,331560
23,38ceb24a,7698,144028
24,35e413f1,7298,335721
25,51cf8561,2958,203853
26,16e9d0ea,4120,193098
27,05e8ca6d,9912,533662
28,3a233281,5221,387626
29,3a24769f,592,131978
30,6caffe81,11140,671915
31,66b76d44,2203,321247
32,2389cdc2,8864,425334
33,5a7301ae,7236,168157
34,aeed5c06,6556,395516
35,b4a014b1,5712,329145
36,1b84dbe1,1823,126664
37,e814e1cf,10027,627248
38,414184f7,11366,649317
39,5600c774,12445,591844
40,bf8fad51,6859,233124
41,ba492306,10616,581672
42,cc77354e,5789,394327
43,9b066938,9409,626888
44,0313a347,7726,413403
45,cab9634e,11807,485585
46,a79abd8b,10173,610863
47,7956236f,4401,111873
48,90f91999,7723,193116
49,8397a50c,1024,253677
50,c70be9cf,12775,848682
51,e7ee38c3,6962,75458
52,532e1e4f,6221,399776
53,1544f145,8941,503749
54,2e5915f1,12412,503743
55,a48635b8,9967,484838
56,e09d77a2,11133,743414
57,56f7a928,5956,249565
58,aed3a70f,8865,324358
59,774cf58b,7688,471690
60,2b09d998,7352,332705
61,e4238fb1,10746,684210
62,dc4cae05,6820,277033
63,26ce2263,10744,188077
64,2afc7272,1789,249089
65,f8eca1b6,6219,251106
66,745ca0a3,6420,555076
67,570bb4b9,6986,391065
68,69942fb3,10747,611793
69,03edb878,9509,746740
70,0ad53bdc,11709,730861
71,4c3a6744,6963,330659
72,fed96827,7384,480987
73,a9dc785c,1297,111819
74,2f9e4435,9662,823231
76,d328a254,6034,320411
77,104d0bb8,12149,855256
78,efd2ec23,11363,583255
79,35141f4c,10864,469781
80,8e16dd48,10866,512385
81,20b104bc,825,61841
82,e77dc3b2,1679,258889
83,5c0da4a4,10741,399434
84,fe558029,7582,357658
85,88968486,11486,659089
86,a8c0acb7,9677,328658
87,c2c5ecda,11986,718250
88,a8c19eb8,9733,469050
89,215f3907,8859,540941
90,60344e4f,10405,340321
91,a92ab7be,7047,125714
92,8a3c1dc7,9679,339556
93,1780bb4a,8942,591949
94,8449d35e,9680,270171
95,0f134faf,7166,319859
96,f4065d9e,12136,709767
97,e02b5b36,12633,1141628
98,41f08ac8,10809,644401
99,6afaebf2,6552,413039
100,8df7a2fb,1654,74810
101,df0a4c90,7083,148367
102,2944f86f,9681,421637
103,ea1a5662,10205,587002
104,e541326e,9678,442248
105,57c94db2,9685,391005
106,52afb588,9156,473050
108,e09f279b,998,251664
109,57a34cf4,12595,488935
110,2500cef9,5786,388165
111,907a5d7c,11772,717411
112,0db5d2c8,6030,52059
113,4dcec659,11710,658536
114,4c5835e6,12204,657817
115,a1390d2f,10527,973085
116,b9f282ec,12498,849410
117,468a7a91,11362,983989
118,04eb7d82,11241,878150
119,db4ed67b,205,191422
120,282f75f3,6048,148153
121,9cfbad36,11058,660867
122,d38fdf53,5136,349599
123,4596da74,10177,648046
124,df10e27c,7988,423744
125,8aec0537,239,82873
126,e98211e7,11269,867688
128,a4e85758,7943,380350
129,e8832875,8272,626724
131,f4e433d4,8226,504148
132,bb5fbd2b,6049,209212
134,2f90f6b8,489,3333
135,c3cf087d,12759,1012534
136,74618572,10806,504849
137,f230bc30,9284,384461
138,a3afdd69,12205,943549
139,65c3efa2,10453,567597
140,0bdeb013,11544,703626
141,ac0d576d,10036,568005
142,28300a16,7235,73564
143,dd549382,10804,339314
144,4fd08daa,10807,576314
145,dad4b285,8780,111195
146,cf134113,11711,565093
147,c40b6180,7699,212847
148,ce5143da,501,67063
149,4876c9ab,12758,415381
150,dd745366,11808,743600
151,737945d9,11818,743598
152,28d596a0,5061,192279
153,06df8256,7240,463603
154,b59c2a92,11809,490606
155,0d85a4e8,7076,116648
156,97220da2,8384,571743
157,16264a81,9453,687626
158,fb920f3a,10433,622380
159,5515376c,6615,346314
160,d2424d1b,782,316125
161,b2f9c73e,9356,659459
162,700783e7,10805,614258
163,1daec722,7134,284857
164,e82900ef,11295,787232
165,95bd120d,12033,1082850
166,5c74c0f5,9739,475188
167,ad82197c,6885,386047
