can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,FWD,0.0,0.0,0,0.0,2,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,6.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p205651.png,2.5,False,1.3,i,Arsenal,3,42,0.0,6.4,G.Jesus,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,274,210,82,201,,,,0.46,0.0,0.08,0.54,0.87,0.75,0.9,0.3,Forward,5.0,6.36,1.43,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",2,b66315ae,5543,363205,1,2024,5543,3.38,3,3.38,0.55,20,8,4.95,2.05
True,True,DEF,3.3,2.8,2,2.8,3,,2024-11-27T10:30:06.325759Z,6.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p226597.png,4.3,False,27.9,a,Arsenal,3,94,0.4,14.9,Gabriel,2020-09-01,1997-12-19,False,p226597,1898,3,2,7,20,0,0,0,3,0,0,8,353,496.4,170.8,272.0,94.0,22,2.56,1.03,3.59,19.52,0,0,0,0,0,0,0,46,163,75,84,,,,0.12,0.0,0.05,0.17,0.93,0.95,1.04,0.33,Defender,5.0,14.92,1.41,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",3,67ac5bb8,5613,435338,1,2024,5613,4.22,3,4.22,1.14,20,11,9.62,8.59
True,True,FWD,6.0,5.5,12,5.5,4,,2025-01-02T08:00:08.350130Z,7.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p219847.png,4.6,False,8.0,a,Arsenal,3,96,0.7,12.3,Havertz,2023-06-28,1999-06-11,False,p219847,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,257.0,701.0,142.6,21,9.39,1.63,11.02,19.00,0,0,0,0,0,0,0,56,101,9,23,,,3.0,0.46,0.0,0.08,0.54,0.93,0.98,1.03,0.34,Forward,12.0,12.31,0.98,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",4,fed7cb61,5220,309400,1,2024,5220,11.76,9,11.76,2.87,52,16,15.87,4.7
True,True,DEF,2.7,2.2,1,2.2,6,,2025-01-12T22:00:07.815228Z,5.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p445122.png,3.5,False,4.3,a,Arsenal,3,73,0.4,13.0,J.Timber,2023-07-14,2001-06-17,False,p445122,1755,1,1,7,16,0,0,0,7,0,0,5,274,276.2,221.9,187.0,68.3,20,0.75,1.01,1.76,15.51,0,0,0,0,0,0,0,172,127,121,133,,,,0.04,0.0,0.05,0.09,0.8,0.82,1.03,0.36,Defender,2.0,13.04,0.24,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",6,41034650,11707,420243,1,2024,11707,0.91,1,0.91,0.95,12,14,7.61,6.88
True,True,MID,0.5,0.0,0,0.0,7,,2025-01-12T22:00:07.826638Z,4.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p85955.png,1.3,False,0.2,a,Arsenal,3,13,0.0,2.8,Jorginho,2023-01-31,1991-12-20,False,p85955,456,0,0,1,5,0,0,0,3,0,0,0,82,35.8,64.7,3.0,10.4,6,0.04,0.47,0.51,4.27,0,0,0,0,0,0,0,400,287,423,388,,,,0.01,0.0,0.09,0.1,0.84,0.99,1.18,0.2,Midfielder,0.0,2.77,-0.51,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",7,45db685d,1389,102017,1,2024,1389,0.04,0,0.04,0.46,1,3,2.73,2.29
True,True,DEF,0.5,0.0,0,0.0,8,,,4.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p440854.png,1.6,False,0.2,a,Arsenal,3,13,0.0,2.7,Kiwior,2023-01-23,2000-02-15,False,p440854,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.00,0.03,0.03,4.45,0,0,0,0,0,0,0,385,399,718,419,,,,0.0,0.0,0.01,0.01,1.24,1.39,0.56,0.28,Defender,0.0,2.71,-0.03,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",8,dc3e663e,10012,425918,1,2024,10012,0.0,0,0.0,0.06,0,1,0.12,0.06
True,True,MID,3.4,4.0,5,4.0,9,Hamstring injury - 75% chance of playing,2025-02-06T00:00:08.092348Z,6.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p444145.png,4.0,False,3.3,d,Arsenal,3,89,0.6,13.3,Martinelli,2019-07-15,2001-06-18,False,p444145,1452,6,3,7,15,0,0,0,1,0,0,6,283,389.4,356.9,570.0,131.6,16,4.04,2.96,7.0,14.75,0,0,0,0,0,0,0,103,62,24,37,,,,0.25,0.0,0.18,0.43,0.91,0.93,0.99,0.43,Midfielder,9.0,13.28,2.0,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",9,48a5a5d6,7752,655488,1,2024,7752,5.67,6,5.67,2.95,28,25,9.85,2.78
True,True,MID,2.3,1.8,6,1.8,12,,2025-01-04T22:00:06.872110Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p499175.png,2.1,False,0.7,a,Arsenal,3,30,0.4,6.7,Nwaneri,2022-09-17,2007-03-21,False,p499175,281,3,0,0,1,0,0,0,1,0,0,1,110,136.8,82.3,80.0,29.9,3,0.56,0.43,0.99,2.04,0,0,0,0,0,0,0,293,257,230,293,,,,0.18,0.0,0.14,0.32,0.65,0.32,0.96,0.0,Midfielder,3.0,6.67,2.01,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",12,7f94982c,11132,890719,1,2024,11132,0.86,3,0.86,0.2,9,5,2.35,1.68
True,True,MID,4.5,4.0,6,4.0,13,,2024-09-10T00:30:06.311550Z,8.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p184029.png,3.8,False,4.9,a,Arsenal,3,60,0.5,7.3,Ødegaard,2021-08-20,1998-12-17,False,p184029,1281,2,3,6,11,0,0,0,2,0,0,6,271,278.6,497.7,277.0,105.6,15,3.12,3.33,6.45,10.59,0,0,0,0,0,0,0,171,30,71,64,3.0,1.0,2.0,0.22,0.0,0.23,0.45,0.74,0.77,1.05,0.42,Midfielder,5.0,7.32,-1.45,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",13,79300479,2517,316264,1,2024,2517,4.19,1,3.43,3.95,24,32,12.32,7.5
True,True,GKP,4.3,2.8,3,3.8,15,,2025-01-30T11:00:08.979724Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p154561.png,3.9,False,25.8,a,Arsenal,3,93,0.7,16.9,Raya,2024-07-04,1995-09-15,False,p154561,2160,0,0,8,22,0,0,0,2,0,59,8,339,502.6,0.0,0.0,50.3,24,0.00,0.01,0.01,21.20,0,0,0,0,0,0,0,43,762,760,207,,,,0.0,2.46,0.0,0.0,0.88,0.92,1.0,0.33,Goalkeeper,0.0,16.91,-0.01,"['Leicester', 'Away']","[2, 2, 4]",2.67,"['Leicester', 'West Ham', ""Nott'm Forest""]","[2, 2, 4, 3, 4]",3.0,"['Leicester', 'West Ham', ""Nott'm Forest"", 'Man Utd', 'Chelsea']",15,98ea5115,9676,262749,1,2024,9676,0.0,0,0.0,0.0,0,0,3.6,3.6
