Team,Avg FDR(Next 3),Avg FDR5(Next 5),Avg FDR(Next 10),Avg FDR(Remaining Season)
Arsenal,3.67,3.2,3.0,3.0
Aston Villa,2.67,3.0,3.0,3.15
Bournemouth,3.33,3.6,3.1,3.05
Brentford,3.33,3.6,3.1,3.15
Brighton,3.33,3.0,3.0,3.1
Chelsea,2.67,2.8,2.7,3.1
Crystal Palace,2.67,2.6,2.7,3.05
Everton,3.67,3.6,3.2,3.25
Fulham,2.0,2.6,2.8,3.21
Ipswich,3.33,3.8,3.5,3.2
Leicester,3.33,3.4,3.2,3.11
Liverpool,3.0,3.0,2.9,3.0
Man City,2.67,3.4,3.5,3.11
Man Utd,3.33,3.2,3.2,3.15
Newcastle,3.0,2.8,3.1,3.05
Nott'm Forest,3.0,3.0,3.2,3.05
Southampton,2.67,2.6,3.0,3.05
Spurs,3.67,3.4,3.2,3.16
West Ham,3.33,3.6,3.3,3.16
Wolves,3.67,3.6,3.3,3.05
