Team,Points Per Game(Last5),Goals Per Game(Last5),Points Per Game(Season),Clean Sheets,GAMES SCORED IN
Arsenal,2.2,2.2,2.08,8,21
Aston Villa,1.6,1.2,1.54,3,18
Bournemouth,2.0,2.4,1.67,6,19
Brentford,1.4,1.8,1.29,3,18
Brighton,1.4,1.2,1.42,5,20
Chelsea,1.0,1.4,1.74,4,20
Crystal Palace,2.0,1.6,1.25,7,18
Everton,1.8,1.6,1.13,9,11
Fulham,1.4,1.6,1.5,4,21
Ipswich,0.2,0.8,0.67,2,15
Leicester,0.6,0.6,0.71,1,17
Liverpool,2.2,2.2,2.43,10,22
Man City,2.0,3.2,1.71,5,22
Man Utd,1.4,1.4,1.21,7,15
Newcastle,1.8,2.0,1.71,8,21
Nott'm Forest,2.0,2.8,1.96,10,20
Southampton,0.6,1.2,0.38,2,14
Spurs,0.6,1.4,1.12,5,20
West Ham,0.8,1.0,1.17,4,18
Wolves,0.6,0.6,0.79,4,19
